date        pg      sp         abt
19790928 -0.035881 0 0.03367
19791031 -0.027832 -0.068606 -0.003257
19791130 -0.003367 0.042624 0.049342
19791231 0.003378 0.016767 0.031348
19800131 -0.017172 0.057625 -0.051672
19800229 -0.012132 -0.00438 -0.03871
19800331 -0.049123 -0.101795 -0.016779
19800430 0.067897 0.04114 0.103754
19800530 0.089161 0.046571 0.062305
19800630 -0.05297 0.026969 -0.01173
19800731 0.104407 0.065039 0.149555
19800829 -0.024845 0.005835 -0.005195
19800930 -0.089172 0.025168 0.075718
19801031 -0.040909 0.016021 -0.028155
19801128 0.040665 0.102377 0.075377
19801231 -0.021314 -0.033874 0.056075
19810130 -0.01343 -0.045742 -0.021239
19810227 0.065299 0.013277 0.088636
19810331 -0.012259 0.036033 0.002088
19810430 0.031206 -0.023456 -0.0315
19810529 -0.017422 -0.001657 -0.034632
19810630 0.074468 -0.010408 0.130045
19810731 -0.028713 -0.00221 -0.113333
19810831 -0.04475 -0.062099 -0.058559
19810930 0.063063 -0.053832 -0.004785
19811030 0.075254 0.049148 0.088654
19811130 0.025559 0.03659 0.053333
19811231 0.001558 -0.030075 -0.088608
19820129 0.073717 -0.017544 0.080741
19820226 -0.02346 -0.060548 -0.008621
19820331 -0.006006 -0.010167 0.008696
19820430 0.047432 0.040014 0.058966
19820528 -0.020438 -0.039162 -0.053279
19820630 -0.010432 -0.02029 -0.008658
19820730 0.038253 -0.022991 0.059738
19820831 0.117474 0.115977 0.161826
19820930 0.030223 0.007614 -0.003571
19821029 0.093622 0.110364 0.074122
19821130 0.120141 0.036123 0.026846
19821231 -0.005258 0.015158 0.013072
19830131 -0.038478 0.033134 0.047355
19830228 0.015556 0.018995 -0.006192
19830331 0.063457 0.033095 0.071651
19830429 -0.000412 0.074922 0.087209
19830531 -0.10395 -0.012346 -0.067204
19830630 0.023202 0.035224 0.10951
19830729 -0.05034 -0.033014 0.015584
19830831 0.033816 0.011319 -0.033419
19830930 0.03972 0.010158 0.029255
19831031 0.008539 -0.015174 0.05168
19831130 0.067568 0.017426 -0.11358
19831230 -0.040084 -0.008834 0.008357
19840131 -0.101538 -0.009216 -0.030387
19840229 -0.066832 -0.038859 -0.031519
19840330 0.023873 0.013498 -0.026627
19840430 -0.005699 0.005466 0.083283
19840531 0.039578 -0.059356 -0.107345
19840629 0.063452 0.017469 0.10443
19840731 0.017184 -0.016451 0.004011
19840831 0.064133 0.106332 0.086207
19840928 -0.002232 -0.00348 -0.119048
19841031 0.049664 -6e-05 -0.004805
19841130 -0.00431 -0.015112 0.00304
19841231 -0.012987 0.022374 0.012121
19850131 -0.001754 0.074085 0.138922
19850228 0.011111 0.008685 0.013228
19850329 -0.024176 -0.002925 0.10705
19850430 -0.049099 -0.004594 -0.031132
19850531 0.033573 0.054051 0.061275
19850628 0.044084 0.012134 0.060046
19850731 0.029333 -0.004848 -0.02658
19850830 0.004367 -0.011995 0.042793
19850930 -0.019565 -0.034724 -0.019438
19851031 0.135698 0.042509 0.032599
19851129 0.059172 0.065062 0.06867
19851231 0.039106 0.045061 0.098394
19860131 -0.046237 0.002367 0.010603
19860228 0.047438 0.071489 0.027273
19860331 0.067029 0.052794 0.221239
19860430 0.00747 -0.014148 0.00487
19860530 0.059524 0.050229 0.072464
19860630 0.028892 0.01411 0.162162
19860731 -0.025897 -0.058683 -0.061209
19860829 0.033926 0.071193 -0.012438
19860930 -0.153125 -0.085439 -0.156171
19861031 0.116974 0.054729 0.031881
19861128 0.036667 0.021477 0.09593
19861231 -0.017685 -0.028288 -0.03183
19870130 0.161047 0.131767 0.196384
19870227 -0.014205 0.036924 0.108046
19870331 0.060519 0.02639 0
19870430 -0.071467 -0.01145 -0.004149
19870529 0.079646 0.006034 0.006276
19870630 0.071038 0.047915 0.037422
19870731 -0.042857 0.048224 0.014028
19870831 0.104698 0.034959 -0.003968
19870930 -0.018226 -0.024166 -0.059761
19871030 -0.119554 -0.21763 -0.152542
19871130 -0.077904 -0.085349 -0.133166
19871231 0.049155 0.072861 0.118841
19880129 0.002343 0.040432 0.015544
19880229 -0.007364 0.041817 0.066667
19880331 -0.075668 -0.033343 -0.098558
19880429 -0.000642 0.009425 -0.020267
19880531 -0.009724 0.003176 0.016438
19880630 0.01473 0.043256 -0.02965
19880729 -0.021613 -0.005411 0.009444
19880831 -0.006656 -0.0386 0.033241
19880930 0.072027 0.039729 0.034853
19881031 0.041563 0.025964 0.001036
19881130 -0.009077 -0.018891 -0.041667
19881230 0.062595 0.014688 0.046196
19890131 0.068103 0.071115 0.024416
19890228 -0.037992 -0.028944 0.043367
19890331 0.043724 0.020806 0.070905
19890428 0.042432 0.05009 0.015525
19890531 0.07451 0.035138 0.072398
19890630 0.054745 -0.007925 -0.021097
19890731 0.108881 0.08837 0.139655
19890831 0.07644 0.015517 -0.038023
19890929 -0.066148 -0.006544 0.007905
19891031 0.083542 -0.025175 0.02902
19891130 0.002904 0.016541 0.061303
19891229 0.084942 0.021417 -0.018051
19900131 -0.082562 -0.068817 -0.038971
19900228 -0.001953 0.008539 -0.013462
19900330 0.060665 0.024255 0.025341
19900430 0.049077 -0.026887 0.021597
19900531 0.169912 0.091989 0.121723
19900629 0.054463 -0.008886 0.095159
19900731 0.000861 -0.005223 0.066098
19900831 -0.112392 -0.094314 -0.08046
19900928 -0.053571 -0.051184 -0.021875
19901031 0.085763 -0.006698 0.053291
19901130 0.054054 0.059934 0.064024
19901231 0.045249 0.024828 0.031519
19910131 -0.079365 0.041518 -0.028667
19910228 0.025237 0.067281 0.066092
19910328 0.047692 0.022203 0.03504
19910430 -0.008811 0.000346 0.059896
19910531 0.014903 0.038577 0.014815
19910628 -0.091043 -0.047893 0.007299
19910731 0.050081 0.044859 0.045894
19910830 0.034056 0.019649 0.006961
19910930 0.016467 -0.019144 -0.006912
19911031 -0.008837 0.01186 0.097448
19911129 -0.03139 -0.043928 -0.021231
19911231 0.158951 0.111588 0.195228
19920131 0.110519 -0.0199 -0.068966
19920228 -0.020482 0.009565 -0.003914
19920331 0.00615 -0.021832 -0.041257
19920430 0.015159 0.027893 0.086885
19920529 -0.004843 0.000964 0.00947
19920630 -0.104623 -0.017359 -0.106942
19920731 0.106522 0.039374 0.026134
19920831 -0.074074 -0.023998 0.004115
19920930 0.053333 0.009106 -0.07377
19921030 0.076456 0.002106 0.031858
19921130 0.026005 0.030262 0.060345
19921231 -0.011521 0.010108 -0.012195
19930129 -0.067133 0.007046 -0.089712
19930226 0.045226 0.010484 -0.05
19930331 -0.040865 0.018697 -0.014354
19930430 -0.009524 -0.025417 0.089126
19930528 0 0.022717 -0.026906
19930630 0.058524 0.000755 -0.0553
19930730 -0.056538 -0.005327 -0.017756
19930831 -0.007692 0.034432 0.04
19930930 -0.018088 -0.009988 0.052885
19931029 0.148632 0.019393 0.04274
19931130 0.046083 -0.012911 0.030837
19931231 0.004405 0.010091 0.012821
19940131 0.049298 0.032501 0.001519
19940228 -0.033613 -0.030045 -0.063559
19940331 -0.069565 -0.045746 -0.036199
19940429 0.068879 0.011531 0.072864
19940531 -0.008791 0.012419 0.052863
19940630 -0.053215 -0.026812 -0.029289
19940729 0.051054 0.031467 -0.023621
19940831 0.091928 0.037643 0.066667
19940930 -0.020534 -0.026898 0.045833
19941031 0.060377 0.020834 -0.005896
19941130 -0.005964 -0.039505 0.028226
19941230 -0.008 0.012299 0.023529
19950131 0.056048 0.024278 0.090115
19950228 0.021113 0.036074 0.003534
19950331 -0.003759 0.027329 0.007042
19950428 0.06 0.02796 0.107273
19950531 0.028623 0.036312 0.015873
19950630 0 0.021279 0.0125
19950731 -0.036174 0.031776 -0.00716
19950831 0.00726 -0.00032 -0.03125
19950929 0.10991 0.040098 0.1
19951031 0.057143 -0.004979 -0.062522
19951130 0.067901 0.041049 0.022013
19951229 -0.040462 0.017444 0.024615
19960131 0.016867 0.032617 0.026066
19960229 -0.02381 0.006934 -0.017647
19960329 0.033537 0.007917 -0.023952
19960430 0.00177 0.013431 0.002822
19960531 0.039941 0.022853 0.061538
19960628 0.031294 0.002257 0.008696
19960731 -0.010207 -0.045748 0.014138
19960830 -0.004202 0.018814 0.025641
19960930 0.097046 0.054173 0.094444
19961031 0.02 0.026131 0.03533
19961129 0.098485 0.073376 0.096059
19961231 -0.010345 -0.021505 -0.08764
19970131 0.074983 0.061317 0.078621
19970228 0.038919 0.005928 0.03211
19970331 -0.044745 -0.042614 -0.002222
19970430 0.099782 0.058406 0.09167
19970530 0.096421 0.058577 0.032787
19970630 0.024479 0.043453 0.059524
19970731 0.080566 0.078123 -0.015618
19970829 -0.124897 -0.057446 -0.08405
19970930 0.037559 0.053154 0.066736
19971031 -0.011729 -0.034478 -0.036833
19971128 0.120404 0.044587 0.062181
19971231 0.04758 0.015732 0.005758
19980130 -0.014847 0.01015 0.085229
19980227 0.082935 0.070449 0.056487
19980331 -0.005891 0.049946 0.006683
19980430 -0.022933 0.009076 -0.025062
19980529 0.020532 -0.018826 0.01453
19980630 0.085693 0.039438 0.105307
19980731 -0.125216 -0.011615 0.018902
19980831 -0.03622 -0.145797 -0.075075
19980930 -0.070261 0.062396 0.128247
19981030 0.250931 0.080294 0.085468
