        Mkt-RF     SMB     HML      RF
198808   -3.31    0.09    2.08    0.59
198809    3.30   -1.27   -0.67    0.62
198810    1.15   -2.90    1.67    0.61
198811   -2.29   -1.72    1.27    0.57
198812    1.49    1.94   -1.54    0.63
198901    6.10   -2.13    0.53    0.55
198902   -2.25    2.77    0.86    0.61
198903    1.57    0.73    0.48    0.67
198904    4.33   -0.60   -1.45    0.67
198905    3.35   -0.04   -0.84    0.79
198906   -1.35   -1.01    2.17    0.71
198907    7.20   -4.02   -2.81    0.70
198908    1.44    0.53    0.65    0.74
198909   -0.76    0.30   -1.34    0.65
198910   -3.67   -3.26   -1.09    0.68
198911    1.03   -1.22   -1.08    0.69
198912    1.16   -2.38    0.24    0.61
199001   -7.85   -1.30    0.89    0.57
199002    1.11    1.05    0.63    0.57
199003    1.83    1.48   -2.86    0.64
199004   -3.36   -0.50   -2.58    0.69
199005    8.42   -2.56   -3.74    0.68
199006   -1.09    1.45   -2.01    0.63
199007   -1.90   -3.20   -0.01    0.68
199008  -10.14   -3.59    1.60    0.66
199009   -6.12   -3.67    0.74    0.60
199010   -1.92   -5.54    0.25    0.68
199011    6.35    0.33   -3.07    0.57
199012    2.46    0.82   -1.55    0.60
199101    4.69    3.80   -1.84    0.52
199102    7.19    3.91   -0.60    0.48
199103    2.65    3.90   -1.20    0.44
199104   -0.28    0.51    1.40    0.53
199105    3.64   -0.34   -0.55    0.47
199106   -4.94    0.06    1.19    0.42
199107    4.24   -0.94   -1.29    0.49
199108    2.32    1.60   -0.80    0.46
199109   -1.59    1.63   -1.00    0.46
199110    1.28    0.89   -0.48    0.42
199111   -4.19   -0.48   -1.92    0.39
199112   10.83   -2.25   -4.04    0.38
199201   -0.59    8.46    4.53    0.34
199202    1.09    0.88    6.38    0.28
199203   -2.65   -1.02    3.67    0.34
199204    1.08   -6.10    4.32    0.32
199205    0.30    0.39    1.25    0.28
199206   -2.34   -3.10    3.39    0.32
199207    3.77   -0.43   -0.53    0.31
199208   -2.38   -0.11   -1.05    0.26
199209    1.19    0.55   -0.24    0.26
199210    1.02    2.05   -2.09    0.23
199211    4.13    3.70   -1.47    0.23
199212    1.53    1.65    2.52    0.28
199301    0.93    2.05    5.89    0.23
199302    0.13   -3.42    6.46    0.22
199303    2.30    0.25    1.26    0.25
199304   -3.05   -0.68    2.63    0.24
199305    2.88    1.96   -3.42    0.22
199306    0.31   -0.30    2.62    0.25
199307   -0.34    0.95    3.26    0.24
199308    3.72    0.31   -0.45    0.25
199309   -0.12    3.11   -0.49    0.26
199310    1.41    1.44   -1.56    0.22
199311   -1.89   -1.43   -0.26    0.25
199312    1.65    1.22    0.57    0.23
199401    2.87    0.14    2.10    0.25
199402   -2.56    2.72   -1.41    0.21
199403   -4.78   -0.96    1.34    0.27
199404    0.68   -0.91    1.69    0.27
199405    0.58   -2.01    0.18    0.31
199406   -3.03   -0.48    1.68    0.31
199407    2.82   -1.78    0.98    0.28
199408    4.01    1.45   -3.47    0.37
199409   -2.31    2.68   -1.81    0.37
199410    1.34   -2.20   -2.36    0.38
199411   -4.04   -0.17   -0.05    0.37
199412    0.86    0.05    0.26    0.44
199501    1.80   -2.96    1.64    0.42
199502    3.63   -0.33    0.38    0.40
199503    2.18   -0.37   -2.06    0.46
199504    2.11   -0.41    1.70    0.44
199505    2.90   -2.23    1.91    0.54
199506    2.72    3.06   -2.98    0.47
199507    3.72    2.21   -2.21    0.45
199508    0.55    1.84    1.92    0.47
199509    3.35   -2.07   -0.94    0.43
199510   -1.52   -3.94   -0.11    0.47
199511    3.95   -0.82    0.33    0.42
199512    1.03    0.37    1.41    0.49
199601    2.26   -2.48    0.40    0.43
199602    1.33    2.05   -2.33    0.39
199603    0.73    1.30    1.28    0.39
199604    2.06    4.89   -4.05    0.46
199605    2.36    3.16   -1.40    0.42
199606   -1.14   -3.64    1.92    0.40
199607   -5.97   -3.59    4.38    0.45
199608    2.76    2.30   -0.57    0.41
199609    5.01   -0.82   -3.76    0.44
199610    0.86   -4.11    4.82    0.42
199611    6.25   -3.60    0.16    0.41
199612   -1.70    3.08    0.99    0.46
199701    4.99   -1.52   -2.33    0.45
199702   -0.49   -2.61    4.69    0.39
199703   -5.03   -0.32    3.86    0.43
199704    4.04   -5.19   -1.02    0.43
199705    6.74    4.83   -4.38    0.49
199706    4.10    1.50    0.72    0.37
