          Mkt-RF     SMB     HML      RF
20050308   -0.54   -0.41    0.02   0.010
20050309   -0.96    0.13   -0.24   0.010
20050310    0.01   -0.78   -0.35   0.010
20050311   -0.55    0.54    0.62   0.010
20050314    0.61   -0.22    0.17   0.010
20050315   -0.67    0.21    0.29   0.010
20050316   -0.84    0.20    0.18   0.010
20050317    0.19    0.02    0.63   0.010
20050318   -0.13   -0.37    0.12   0.010
20050321   -0.38    0.31   -0.14   0.010
20050322   -0.92    0.66   -0.10   0.010
20050323   -0.12   -0.84   -0.66   0.010
20050324    0.01    0.47   -0.05   0.010
20050328    0.15   -0.22    0.01   0.010
20050329   -0.86   -0.80   -0.01   0.010
20050330    1.35    0.12   -0.27   0.010
20050331    0.00   -0.02    0.73   0.010
20050401   -0.64   -0.05    0.71   0.010
20050404    0.29    0.02    0.14   0.010
20050405    0.40   -0.15   -0.31   0.010
20050406    0.22   -0.09    0.00   0.010
20050407    0.57    0.00   -0.22   0.010
20050408   -0.88   -0.43    0.00   0.010
20050411   -0.09   -0.62    0.09   0.010
20050412    0.56    0.24   -0.18   0.010
20050413   -1.22   -0.33   -0.16   0.010
20050414   -1.10   -0.57   -0.16   0.010
20050415   -1.59   -0.08   -0.49   0.010
20050418    0.29    0.32    0.20   0.010
20050419    0.75    0.76    0.22   0.010
20050420   -1.35   -0.17   -0.02   0.010
20050421    1.87    0.23   -0.43   0.010
20050422   -0.83   -0.80    0.51   0.010
20050425    0.93    0.04    0.06   0.010
20050426   -0.88   -0.46   -0.15   0.010
20050427    0.30   -0.50   -0.42   0.010
20050428   -1.20   -0.90    0.37   0.010
20050429    1.04   -0.38   -0.15   0.010
20050502    0.52    0.45    0.11   0.011
20050503   -0.04    0.03   -0.51   0.011
20050504    1.28    0.30    0.26   0.011
20050505   -0.19    0.24   -0.23   0.011
20050506   -0.03    0.32    0.15   0.011
20050509    0.61    0.30   -0.04   0.011
20050510   -1.03   -0.16   -0.01   0.011
20050511    0.39   -0.38   -0.22   0.011
20050512   -1.02   -0.15   -0.89   0.011
20050513   -0.50   -0.08   -0.70   0.011
20050516    1.03    0.46   -0.37   0.011
20050517    0.66   -0.23    0.33   0.011
20050518    1.15    0.94   -0.44   0.011
20050519    0.47   -0.15    0.09   0.011
20050520   -0.13   -0.03    0.14   0.011
20050523    0.43    0.18    0.02   0.011
20050524    0.05    0.00    0.05   0.011
20050525   -0.44   -0.56    0.31   0.011
20050526    0.74    0.65   -0.02   0.011
20050527    0.18    0.08    0.40   0.011
20050531   -0.49    0.45    0.35   0.011
20050601    0.90    0.16    0.00   0.010
20050602    0.24    0.09   -0.23   0.010
20050603   -0.67   -0.19    0.55   0.010
20050606    0.14    0.29    0.13   0.010
20050607   -0.03    0.15    0.04   0.010
20050608   -0.28   -0.35    0.28   0.010
20050609    0.58    0.25    0.04   0.010
20050610   -0.21    0.11    0.52   0.010
20050613    0.28    0.12    0.21   0.010
20050614    0.31    0.43    0.30   0.010
20050615    0.22    0.22    0.18   0.010
20050616    0.46    0.59   -0.26   0.010
20050617    0.36   -0.56    0.22   0.010
20050620   -0.07   -0.33    0.12   0.010
20050621   -0.18    0.14   -0.23   0.010
20050622    0.05    0.25   -0.02   0.010
20050623   -1.07   -0.41    0.22   0.010
20050624   -0.72    0.01    0.09   0.010
20050627   -0.07   -0.13    0.65   0.010
20050628    1.05    1.03   -0.63   0.010
20050629   -0.07    0.33    0.09   0.010
20050630   -0.63    0.21    0.30   0.010
20050701    0.32    0.09    0.46   0.012
20050705    0.92    0.55   -0.14   0.012
20050706   -0.73    0.12   -0.09   0.012
20050707    0.26   -0.12   -0.16   0.012
20050708    1.21    0.75   -0.59   0.012
20050711    0.69    0.73   -0.11   0.012
20050712    0.20   -0.28   -0.05   0.012
20050713    0.01   -0.38    0.03   0.012
20050714    0.14   -0.62   -0.59   0.012
20050715    0.12    0.00   -0.12   0.012
20050718   -0.55   -0.15    0.10   0.012
20050719    0.75    0.86   -0.10   0.012
20050720    0.54    0.74   -0.27   0.012
20050721   -0.74   -0.59    0.08   0.012
20050722    0.57    0.90    0.71   0.012
20050725   -0.47   -0.51    0.18   0.012
20050726    0.21    0.28    0.15   0.012
20050727    0.43   -0.37    0.00   0.012
20050728    0.67    0.47   -0.08   0.012
20050729   -0.66    0.25    0.08   0.012
20050801    0.15    0.27   -0.16   0.013
20050802    0.70    0.02    0.29   0.013
20050803   -0.02   -0.62    0.03   0.013
20050804   -0.82   -0.82    0.38   0.013
20050805   -0.81   -0.29   -0.10   0.013
20050808   -0.32    0.02    0.21   0.013
20050809    0.55   -0.46    0.02   0.013
20050810   -0.13   -0.01    0.40   0.013
20050811    0.71    0.17   -0.11   0.013
20050812   -0.57   -0.38    0.17   0.013
20050815    0.30    0.48   -0.21   0.013
20050816   -1.22   -0.42    0.09   0.013
20050817    0.05    0.12   -0.46   0.013
20050818   -0.15   -0.46    0.10   0.013
20050819    0.07    0.04    0.24   0.013
20050822    0.19    0.48    0.16   0.013
20050823   -0.31   -0.03    0.05   0.013
20050824   -0.56    0.44    0.18   0.013
20050825    0.21    0.12    0.22   0.013
20050826   -0.66   -0.57   -0.13   0.013
20050829    0.65    0.36   -0.20   0.013
20050830   -0.31   -0.02    0.40   0.013
20050831    1.10    0.69   -0.10   0.013
20050901    0.13   -0.05    0.37   0.014
20050902   -0.36   -0.28   -0.11   0.014
20050906    1.22    0.24   -0.45   0.014
20050907    0.30    0.10   -0.16   0.014
20050908   -0.40   -0.10   -0.07   0.014
20050909    0.73   -0.13    0.27   0.014
20050912    0.00    0.55   -0.46   0.014
20050913   -0.76   -0.20    0.12   0.014
20050914   -0.44   -0.68    0.53   0.014
20050915   -0.02   -0.24    0.30   0.014
20050916    0.72    0.13   -0.05   0.014
20050919   -0.55   -0.17    0.39   0.014
20050920   -0.78   -0.16    0.06   0.014
20050921   -1.03   -0.50    0.39   0.014
20050922    0.30   -0.04   -0.27   0.014
20050923    0.15    0.56    0.06   0.014
20050926    0.12    0.50    0.16   0.014
20050927   -0.02   -0.08    0.00   0.014
20050928    0.06   -0.61    0.38   0.014
20050929    0.92    0.25   -0.05   0.014
20050930    0.20    0.31   -0.32   0.014
20051003    0.00    0.45    0.05   0.013
20051004   -0.97    0.23   -0.34   0.013
20051005   -1.63   -0.99   -0.39   0.013
20051006   -0.57   -0.32    0.05   0.013
20051007    0.42    0.31    0.23   0.013
20051010   -0.73   -0.07   -0.30   0.013
20051011   -0.33   -0.95    0.26   0.013
20051012   -0.79   -0.49   -0.08   0.013
20051013   -0.09    0.47   -0.88   0.013
20051014    0.92    0.51   -0.04   0.013
20051017    0.29   -0.38    0.25   0.013
20051018   -1.03    0.07   -0.47   0.013
20051019    1.45    0.42   -0.12   0.013
20051020   -1.44    0.02   -0.59   0.013
20051021    0.32    0.38    0.24   0.013
20051024    1.70    0.15    0.45   0.013
20051025   -0.30   -0.39    0.40   0.013
20051026   -0.46   -0.18    0.09   0.013
20051027   -1.24   -0.97    0.23   0.013
20051028    1.55   -0.01    0.26   0.013
20051031    0.96    0.80   -0.02   0.013
20051101   -0.27   -0.18    0.30   0.015
20051102    1.15    0.82    0.02   0.015
20051103    0.43   -0.10   -0.29   0.015
20051104    0.01    0.07   -0.41   0.015
20051107    0.25    0.28   -0.34   0.015
20051108   -0.37   -0.36    0.06   0.015
20051109    0.15    0.22   -0.03   0.015
20051110    0.80   -0.06   -0.73   0.015
20051111    0.27    0.00   -0.17   0.015
20051114   -0.10   -0.33    0.03   0.015
20051115   -0.49   -0.64   -0.09   0.015
20051116    0.11   -0.37    0.11   0.015
20051117    1.06    0.68   -0.19   0.015
20051118    0.43    0.24   -0.10   0.015
20051121    0.60    0.38   -0.24   0.015
20051122    0.48   -0.06    0.03   0.015
20051123    0.31   -0.25    0.18   0.015
20051125    0.18   -0.13   -0.05   0.015
20051128   -1.01   -0.67    0.11   0.015
20051129    0.01    0.29    0.25   0.015
20051130   -0.43    1.10   -0.16   0.015
20051201    1.27    0.46    0.18   0.015
20051202    0.05    0.05   -0.14   0.015
20051205   -0.30   -0.23    0.11   0.015
20051206    0.12    0.05    0.04   0.015
20051207   -0.49   -0.06    0.05   0.015
20051208   -0.03    0.21    0.16   0.015
20051209    0.27    0.24   -0.09   0.015
20051212    0.10    0.09   -0.02   0.015
20051213    0.44   -0.57   -0.04   0.015
20051214    0.34   -0.23    0.10   0.015
20051215   -0.23   -0.58   -0.25   0.015
20051216   -0.29    0.05   -0.10   0.015
20051219   -0.73   -0.76    0.23   0.015
20051220   -0.02   -0.01    0.04   0.015
20051221    0.33    0.67   -0.43   0.015
20051222    0.45    0.11   -0.13   0.015
20051223    0.08    0.26    0.02   0.015
20051227   -1.00   -0.39    0.09   0.015
20051228    0.19    0.37    0.12   0.015
20051229   -0.27   -0.01    0.24   0.015
20051230   -0.50   -0.20    0.28   0.015
